Customer_ID,Region,Brand,Product,SKU,Product_Size,Lead_Source,Call_Count,Call_Outcome,Units_Sold,Unit_Price_INR,Vendor,Vendor_Cost_INR,Operational_Cost_INR,Revenue_INR,Total_Product_Cost_INR,Estimated_Profit_INR
CUST10000,Punjab,Hovet,Dairy Fertility Support,HO-DAI-100,100ml,Field Agent,1,Interested,7,934,Vendor_C,593,201,6538,4151,2186
CUST10001,Tamil Nadu,Agrihomeo,Soil Health Tonic,AG-SOI-250,250ml,Referral,4,Converted,10,592,Vendor_B,623,191,5920,6230,-501
CUST10002,Punjab,Hovet,Poultry Growth Enhancer,HO-POU-100,100ml,Field Agent,5,Converted,4,353,Vendor_D,673,293,1412,2692,-1573
CUST10003,Tamil Nadu,Agrihomeo,Crop Booster,AG-CRO-11000,1L,Farmer Call,5,Follow-up Required,15,810,Vendor_B,358,201,12150,5370,6579
CUST10004,Andhra Pradesh,Hovet,Dairy Calcium Tonic,HO-DAI-11000,1L,Distributor,5,Interested,2,593,Vendor_B,532,182,1186,1064,-60
CUST10005,Telangana,Agrihomeo,Soil Health Tonic,AG-SOI-11000,1L,Farmer Call,3,Follow-up Required,11,1122,Vendor_D,460,242,12342,5060,7040
CUST10006,Tamil Nadu,Agrihomeo,Natural Pest Control,AG-NAT-11000,1L,Field Agent,6,Not Interested,5,1060,Vendor_C,579,139,5300,2895,2266
CUST10007,Kerala,Agrihomeo,Natural Pest Control,AG-NAT-11000,1L,Distributor,1,Converted,16,351,Vendor_D,696,288,5616,11136,-5808
CUST10008,Haryana,Hovet,Dairy Calcium Tonic,HO-DAI-100,100ml,Referral,2,Not Interested,14,864,Vendor_A,795,50,12096,11130,916
CUST10009,Maharashtra,Agrihomeo,Root Growth Enhancer,AG-ROO-250,250ml,Field Agent,5,Interested,9,447,Vendor_C,617,92,4023,5553,-1622
CUST10010,Karnataka,Agrihomeo,Soil Health Tonic,AG-SOI-250,250ml,Field Agent,2,Converted,7,221,Vendor_A,453,70,1547,3171,-1694
CUST10011,Haryana,Hovet,Udder Health Support,HO-UDD-500,500ml,Website,1,Interested,15,534,Vendor_C,705,144,8010,10575,-2709
CUST10012,Haryana,Hovet,Animal Stress Relief,HO-ANI-100,100ml,Distributor,2,Interested,11,920,Vendor_A,544,126,10120,5984,4010
CUST10013,Kerala,Agrihomeo,Plant Immunity Mix,AG-PLA-100,100ml,Farmer Call,2,Converted,19,584,Vendor_C,703,297,11096,13357,-2558
CUST10014,Punjab,Agrihomeo,Plant Immunity Mix,AG-PLA-11000,1L,Distributor,5,Interested,6,219,Vendor_B,661,82,1314,3966,-2734
CUST10015,Kerala,Agrihomeo,Soil Health Tonic,AG-SOI-11000,1L,Farmer Call,5,Converted,20,556,Vendor_C,385,245,11120,7700,3175
CUST10016,Kerala,Agrihomeo,Crop Booster,AG-CRO-500,500ml,Referral,2,Interested,9,1126,Vendor_B,566,165,10134,5094,4875
CUST10017,Punjab,Hovet,Dairy Calcium Tonic,HO-DAI-500,500ml,Distributor,1,Converted,12,480,Vendor_B,732,123,5760,8784,-3147
CUST10018,Telangana,Agrihomeo,Soil Health Tonic,AG-SOI-100,100ml,Field Agent,2,Not Interested,13,433,Vendor_A,180,182,5629,2340,3107
CUST10019,Karnataka,Hovet,Poultry Growth Enhancer,HO-POU-500,500ml,Distributor,2,Not Interested,19,349,Vendor_A,143,292,6631,2717,3622
CUST10020,Tamil Nadu,Agrihomeo,Crop Booster,AG-CRO-500,500ml,Website,3,Follow-up Required,7,476,Vendor_A,311,143,3332,2177,1012
CUST10021,Karnataka,Hovet,Poultry Growth Enhancer,HO-POU-11000,1L,Farmer Call,1,Converted,18,363,Vendor_C,600,206,6534,10800,-4472
CUST10022,Kerala,Hovet,Livestock Mineral Mix,HO-LIV-500,500ml,Website,4,Not Interested,7,489,Vendor_A,431,130,3423,3017,276
CUST10023,Karnataka,Agrihomeo,Soil Health Tonic,AG-SOI-11000,1L,Farmer Call,2,Converted,3,384,Vendor_C,103,299,1152,309,544
CUST10024,Haryana,Agrihomeo,Crop Booster,AG-CRO-250,250ml,Website,6,Not Interested,5,399,Vendor_B,324,118,1995,1620,257
CUST10025,Telangana,Hovet,Dairy Fertility Support,HO-DAI-11000,1L,Website,3,Interested,8,761,Vendor_B,312,209,6088,2496,3383
CUST10026,Karnataka,Agrihomeo,Plant Immunity Mix,AG-PLA-500,500ml,Referral,4,Converted,2,694,Vendor_B,726,138,1388,1452,-202
CUST10027,Haryana,Hovet,Dairy Calcium Tonic,HO-DAI-100,100ml,Referral,5,Not Interested,6,272,Vendor_A,729,289,1632,4374,-3031
CUST10028,Kerala,Agrihomeo,Soil Health Tonic,AG-SOI-250,250ml,Referral,2,Follow-up Required,5,665,Vendor_A,546,176,3325,2730,419
CUST10029,Telangana,Agrihomeo,Natural Pest Control,AG-NAT-11000,1L,Website,6,Not Interested,15,352,Vendor_C,526,203,5280,7890,-2813
CUST10030,Maharashtra,Agrihomeo,Crop Booster,AG-CRO-11000,1L,Distributor,1,Follow-up Required,16,847,Vendor_A,97,210,13552,1552,11790
CUST10031,Maharashtra,Agrihomeo,Root Growth Enhancer,AG-ROO-250,250ml,Farmer Call,6,Interested,5,635,Vendor_B,741,79,3175,3705,-609
CUST10032,Karnataka,Agrihomeo,Natural Pest Control,AG-NAT-250,250ml,Website,4,Not Interested,18,1061,Vendor_A,114,253,19098,2052,16793
CUST10033,Andhra Pradesh,Hovet,Poultry Growth Enhancer,HO-POU-100,100ml,Website,4,Follow-up Required,4,1092,Vendor_A,214,178,4368,856,3334
CUST10034,Haryana,Hovet,Veterinary Liver Tonic,HO-VET-250,250ml,Farmer Call,1,Interested,2,167,Vendor_D,707,242,334,1414,-1322
CUST10035,Tamil Nadu,Hovet,Herbal Infection Control,HO-HER-11000,1L,Distributor,1,Not Interested,6,518,Vendor_A,312,53,3108,1872,1183
CUST10036,Tamil Nadu,Agrihomeo,Root Growth Enhancer,AG-ROO-250,250ml,Farmer Call,4,Follow-up Required,3,1187,Vendor_A,324,145,3561,972,2444
CUST10037,Andhra Pradesh,Hovet,Dairy Fertility Support,HO-DAI-500,500ml,Referral,5,Interested,5,237,Vendor_B,143,112,1185,715,358
CUST10038,Karnataka,Hovet,Veterinary Liver Tonic,HO-VET-100,100ml,Distributor,6,Not Interested,17,865,Vendor_B,114,224,14705,1938,12543
CUST10039,Andhra Pradesh,Hovet,Udder Health Support,HO-UDD-250,250ml,Distributor,6,Interested,1,274,Vendor_C,419,276,274,419,-421
CUST10040,Kerala,Agrihomeo,Root Growth Enhancer,AG-ROO-11000,1L,Website,2,Interested,3,884,Vendor_D,442,184,2652,1326,1142
CUST10041,Karnataka,Agrihomeo,Root Growth Enhancer,AG-ROO-250,250ml,Website,5,Converted,13,270,Vendor_A,432,218,3510,5616,-2324
CUST10042,Haryana,Agrihomeo,Root Growth Enhancer,AG-ROO-250,250ml,Referral,1,Follow-up Required,18,615,Vendor_D,678,196,11070,12204,-1330
CUST10043,Telangana,Agrihomeo,Soil Health Tonic,AG-SOI-11000,1L,Website,4,Follow-up Required,7,573,Vendor_D,708,154,4011,4956,-1099
CUST10044,Haryana,Agrihomeo,Root Growth Enhancer,AG-ROO-500,500ml,Referral,5,Interested,12,208,Vendor_D,120,88,2496,1440,968
CUST10045,Punjab,Agrihomeo,Plant Immunity Mix,AG-PLA-100,100ml,Website,6,Converted,6,1185,Vendor_B,144,262,7110,864,5984
CUST10046,Maharashtra,Agrihomeo,Crop Booster,AG-CRO-500,500ml,Referral,3,Interested,14,613,Vendor_A,364,189,8582,5096,3297
CUST10047,Punjab,Agrihomeo,Natural Pest Control,AG-NAT-11000,1L,Field Agent,5,Not Interested,5,291,Vendor_D,279,252,1455,1395,-192
CUST10048,Haryana,Agrihomeo,Crop Booster,AG-CRO-500,500ml,Referral,2,Not Interested,20,712,Vendor_C,667,139,14240,13340,761
CUST10049,Telangana,Agrihomeo,Root Growth Enhancer,AG-ROO-500,500ml,Field Agent,6,Follow-up Required,1,938,Vendor_B,499,179,938,499,260
CUST10050,Punjab,Agrihomeo,Plant Immunity Mix,AG-PLA-500,500ml,Distributor,5,Converted,16,942,Vendor_D,121,201,15072,1936,12935
CUST10051,Telangana,Hovet,Herbal Infection Control,HO-HER-500,500ml,Website,2,Interested,13,268,Vendor_B,424,143,3484,5512,-2171
CUST10052,Kerala,Hovet,Dairy Calcium Tonic,HO-DAI-11000,1L,Field Agent,6,Converted,12,185,Vendor_A,685,82,2220,8220,-6082
CUST10053,Telangana,Agrihomeo,Root Growth Enhancer,AG-ROO-250,250ml,Field Agent,3,Converted,4,921,Vendor_C,495,251,3684,1980,1453
CUST10054,Punjab,Agrihomeo,Crop Booster,AG-CRO-500,500ml,Referral,1,Converted,4,770,Vendor_C,415,83,3080,1660,1337
CUST10055,Andhra Pradesh,Hovet,Poultry Immunity Booster,HO-POU-11000,1L,Referral,2,Converted,2,413,Vendor_D,776,156,826,1552,-882
CUST10056,Maharashtra,Agrihomeo,Crop Booster,AG-CRO-250,250ml,Referral,1,Follow-up Required,15,293,Vendor_C,718,61,4395,10770,-6436
CUST10057,Tamil Nadu,Agrihomeo,Crop Booster,AG-CRO-100,100ml,Referral,3,Converted,18,397,Vendor_D,703,193,7146,12654,-5701
CUST10058,Kerala,Agrihomeo,Crop Booster,AG-CRO-11000,1L,Distributor,6,Follow-up Required,16,347,Vendor_B,271,299,5552,4336,917
CUST10059,Andhra Pradesh,Hovet,Poultry Immunity Booster,HO-POU-11000,1L,Field Agent,5,Converted,1,508,Vendor_D,637,108,508,637,-237
CUST10060,Kerala,Agrihomeo,Natural Pest Control,AG-NAT-250,250ml,Distributor,3,Not Interested,10,1045,Vendor_A,244,63,10450,2440,7947
CUST10061,Kerala,Hovet,Udder Health Support,HO-UDD-100,100ml,Field Agent,3,Follow-up Required,12,678,Vendor_D,573,92,8136,6876,1168
CUST10062,Kerala,Hovet,Dairy Fertility Support,HO-DAI-250,250ml,Distributor,4,Converted,10,1112,Vendor_C,262,235,11120,2620,8265
CUST10063,Haryana,Hovet,Udder Health Support,HO-UDD-250,250ml,Referral,3,Not Interested,19,901,Vendor_C,711,171,17119,13509,3439
CUST10064,Telangana,Hovet,Poultry Growth Enhancer,HO-POU-100,100ml,Farmer Call,6,Not Interested,5,318,Vendor_C,775,296,1590,3875,-2581
CUST10065,Haryana,Agrihomeo,Root Growth Enhancer,AG-ROO-100,100ml,Distributor,5,Interested,3,523,Vendor_B,468,206,1569,1404,-41
CUST10066,Karnataka,Agrihomeo,Soil Health Tonic,AG-SOI-100,100ml,Distributor,1,Not Interested,9,395,Vendor_A,137,108,3555,1233,2214
CUST10067,Tamil Nadu,Agrihomeo,Soil Health Tonic,AG-SOI-100,100ml,Website,5,Interested,15,952,Vendor_C,494,289,14280,7410,6581
CUST10068,Maharashtra,Hovet,Animal Digestive Aid,HO-ANI-500,500ml,Referral,3,Interested,14,928,Vendor_D,197,270,12992,2758,9964
CUST10069,Haryana,Hovet,Udder Health Support,HO-UDD-11000,1L,Referral,5,Follow-up Required,1,250,Vendor_D,654,192,250,654,-596
CUST10070,Kerala,Agrihomeo,Plant Immunity Mix,AG-PLA-100,100ml,Field Agent,3,Interested,2,459,Vendor_B,611,242,918,1222,-546
CUST10071,Tamil Nadu,Hovet,Animal Digestive Aid,HO-ANI-250,250ml,Field Agent,4,Converted,10,218,Vendor_B,596,62,2180,5960,-3842
CUST10072,Maharashtra,Hovet,Livestock Mineral Mix,HO-LIV-500,500ml,Field Agent,6,Interested,16,780,Vendor_D,293,90,12480,4688,7702
CUST10073,Tamil Nadu,Agrihomeo,Plant Immunity Mix,AG-PLA-500,500ml,Field Agent,6,Follow-up Required,7,810,Vendor_C,691,98,5670,4837,735
CUST10074,Tamil Nadu,Hovet,Dairy Calcium Tonic,HO-DAI-100,100ml,Farmer Call,2,Not Interested,3,169,Vendor_D,325,93,507,975,-561
CUST10075,Telangana,Agrihomeo,Soil Health Tonic,AG-SOI-11000,1L,Website,6,Interested,10,525,Vendor_D,797,293,5250,7970,-3013
CUST10076,Telangana,Agrihomeo,Natural Pest Control,AG-NAT-250,250ml,Website,1,Not Interested,7,581,Vendor_D,706,51,4067,4942,-926
CUST10077,Tamil Nadu,Agrihomeo,Natural Pest Control,AG-NAT-500,500ml,Distributor,3,Follow-up Required,16,431,Vendor_C,543,286,6896,8688,-2078
CUST10078,Tamil Nadu,Hovet,Animal Digestive Aid,HO-ANI-250,250ml,Website,6,Interested,14,1046,Vendor_C,203,199,14644,2842,11603
CUST10079,Kerala,Hovet,Dairy Calcium Tonic,HO-DAI-250,250ml,Distributor,3,Converted,16,744,Vendor_C,394,280,11904,6304,5320
CUST10080,Karnataka,Hovet,Udder Health Support,HO-UDD-100,100ml,Distributor,1,Interested,16,1160,Vendor_A,513,171,18560,8208,10181
CUST10081,Maharashtra,Agrihomeo,Plant Immunity Mix,AG-PLA-100,100ml,Referral,5,Interested,11,1191,Vendor_D,751,247,13101,8261,4593
CUST10082,Kerala,Hovet,Dairy Calcium Tonic,HO-DAI-11000,1L,Farmer Call,1,Interested,19,465,Vendor_D,337,117,8835,6403,2315
CUST10083,Haryana,Hovet,Animal Digestive Aid,HO-ANI-11000,1L,Referral,2,Interested,8,886,Vendor_D,471,274,7088,3768,3046
CUST10084,Karnataka,Hovet,Dairy Fertility Support,HO-DAI-500,500ml,Referral,4,Interested,3,692,Vendor_B,336,216,2076,1008,852
CUST10085,Tamil Nadu,Agrihomeo,Root Growth Enhancer,AG-ROO-250,250ml,Referral,5,Follow-up Required,7,1027,Vendor_B,127,154,7189,889,6146
CUST10086,Kerala,Hovet,Dairy Fertility Support,HO-DAI-500,500ml,Distributor,5,Not Interested,12,401,Vendor_C,223,207,4812,2676,1929
CUST10087,Telangana,Hovet,Veterinary Liver Tonic,HO-VET-500,500ml,Referral,6,Converted,17,168,Vendor_D,562,74,2856,9554,-6772
CUST10088,Haryana,Hovet,Poultry Growth Enhancer,HO-POU-250,250ml,Farmer Call,3,Interested,4,1198,Vendor_C,707,173,4792,2828,1791
